Date,Donor Country,Aid Type,Value (USD),Description,Source
2023-03-31,UK,Financial,24474399,Aid package for Ukraine,Simulated
2023-04-01,Canada,Military,96438934,Aid package for Ukraine,Simulated
2023-04-02,France,Humanitarian,67929903,Aid package for Ukraine,Simulated
2023-04-03,USA,Financial,10454879,Aid package for Ukraine,Simulated
2023-04-04,Canada,Financial,70814640,Aid package for Ukraine,Simulated
2023-04-05,UK,Financial,3228139,Aid package for Ukraine,Simulated
2023-04-06,France,Military,75722624,Aid package for Ukraine,Simulated
2023-04-07,France,Military,30643696,Aid package for Ukraine,Simulated
2023-04-08,UK,Financial,24510192,Aid package for Ukraine,Simulated
2023-04-09,Canada,Military,29598796,Aid package for Ukraine,Simulated
2023-04-10,UK,Financial,49887505,Aid package for Ukraine,Simulated
2023-04-11,UK,Financial,23554312,Aid package for Ukraine,Simulated
2023-04-12,France,Financial,84708407,Aid package for Ukraine,Simulated
2023-04-13,USA,Financial,46770146,Aid package for Ukraine,Simulated
2023-04-14,Canada,Financial,42280554,Aid package for Ukraine,Simulated
2023-04-15,USA,Military,12598072,Aid package for Ukraine,Simulated
2023-04-16,USA,Military,61392336,Aid package for Ukraine,Simulated
2023-04-17,USA,Humanitarian,45628278,Aid package for Ukraine,Simulated
2023-04-18,Canada,Humanitarian,79422005,Aid package for Ukraine,Simulated
2023-04-19,Germany,Military,83722286,Aid package for Ukraine,Simulated
2023-04-20,Germany,Financial,33410138,Aid package for Ukraine,Simulated
2023-04-21,Germany,Humanitarian,20440297,Aid package for Ukraine,Simulated
2023-04-22,France,Financial,31619251,Aid package for Ukraine,Simulated
2023-04-23,USA,Military,47161680,Aid package for Ukraine,Simulated
2023-04-24,Germany,Humanitarian,65158062,Aid package for Ukraine,Simulated
2023-04-25,Germany,Humanitarian,55522943,Aid package for Ukraine,Simulated
2023-04-26,Germany,Financial,32461309,Aid package for Ukraine,Simulated
2023-04-27,UK,Humanitarian,97755215,Aid package for Ukraine,Simulated
2023-04-28,UK,Military,68319440,Aid package for Ukraine,Simulated
2023-04-29,France,Humanitarian,76460543,Aid package for Ukraine,Simulated
2023-04-30,Germany,Humanitarian,93650123,Aid package for Ukraine,Simulated
2023-05-01,USA,Military,89151902,Aid package for Ukraine,Simulated
2023-05-02,Canada,Financial,62494704,Aid package for Ukraine,Simulated
2023-05-03,Germany,Financial,89882869,Aid package for Ukraine,Simulated
2023-05-04,UK,Financial,64729789,Aid package for Ukraine,Simulated
2023-05-05,USA,Humanitarian,68916329,Aid package for Ukraine,Simulated
2023-05-06,Canada,Military,5835449,Aid package for Ukraine,Simulated
2023-05-07,Germany,Military,6556868,Aid package for Ukraine,Simulated
2023-05-08,France,Humanitarian,70130682,Aid package for Ukraine,Simulated
2023-05-09,USA,Military,98887583,Aid package for Ukraine,Simulated
2023-05-10,France,Military,38798275,Aid package for Ukraine,Simulated
2023-05-11,Canada,Military,8100818,Aid package for Ukraine,Simulated
2023-05-12,USA,Military,22584660,Aid package for Ukraine,Simulated
2023-05-13,UK,Military,79403948,Aid package for Ukraine,Simulated
2023-05-14,UK,Financial,4747150,Aid package for Ukraine,Simulated
2023-05-15,USA,Humanitarian,62797098,Aid package for Ukraine,Simulated
2023-05-16,USA,Military,72917056,Aid package for Ukraine,Simulated
2023-05-17,Canada,Financial,34869554,Aid package for Ukraine,Simulated
2023-05-18,France,Humanitarian,17260603,Aid package for Ukraine,Simulated
2023-05-19,USA,Financial,66043967,Aid package for Ukraine,Simulated
2023-05-20,France,Financial,93178057,Aid package for Ukraine,Simulated
2023-05-21,USA,Military,87909356,Aid package for Ukraine,Simulated
2023-05-22,Germany,Military,82483464,Aid package for Ukraine,Simulated
2023-05-23,USA,Military,45832404,Aid package for Ukraine,Simulated
2023-05-24,UK,Humanitarian,9971945,Aid package for Ukraine,Simulated
2023-05-25,UK,Financial,17036333,Aid package for Ukraine,Simulated
2023-05-26,UK,Humanitarian,36058360,Aid package for Ukraine,Simulated
2023-05-27,France,Humanitarian,47396817,Aid package for Ukraine,Simulated
2023-05-28,UK,Military,57551978,Aid package for Ukraine,Simulated
2023-05-29,UK,Financial,38606638,Aid package for Ukraine,Simulated
2023-05-30,UK,Military,13554750,Aid package for Ukraine,Simulated
2023-05-31,Germany,Humanitarian,33138104,Aid package for Ukraine,Simulated
2023-06-01,Canada,Military,25503180,Aid package for Ukraine,Simulated
2023-06-02,Germany,Financial,90999190,Aid package for Ukraine,Simulated
2023-06-03,France,Military,14201034,Aid package for Ukraine,Simulated
2023-06-04,Canada,Military,90245790,Aid package for Ukraine,Simulated
2023-06-05,Canada,Military,90308797,Aid package for Ukraine,Simulated
2023-06-06,Germany,Financial,92886953,Aid package for Ukraine,Simulated
2023-06-07,France,Humanitarian,68788330,Aid package for Ukraine,Simulated
2023-06-08,France,Humanitarian,8447153,Aid package for Ukraine,Simulated
2023-06-09,France,Military,77859437,Aid package for Ukraine,Simulated
2023-06-10,Germany,Humanitarian,70462455,Aid package for Ukraine,Simulated
2023-06-11,Canada,Humanitarian,29792112,Aid package for Ukraine,Simulated
2023-06-12,UK,Humanitarian,90769072,Aid package for Ukraine,Simulated
2023-06-13,Canada,Financial,82287505,Aid package for Ukraine,Simulated
2023-06-14,France,Financial,71197424,Aid package for Ukraine,Simulated
2023-06-15,UK,Humanitarian,90719536,Aid package for Ukraine,Simulated
2023-06-16,USA,Military,3546186,Aid package for Ukraine,Simulated
2023-06-17,Germany,Humanitarian,6188974,Aid package for Ukraine,Simulated
2023-06-18,Canada,Military,44425573,Aid package for Ukraine,Simulated
2023-06-19,USA,Military,14018606,Aid package for Ukraine,Simulated
2023-06-20,USA,Humanitarian,83849119,Aid package for Ukraine,Simulated
2023-06-21,Germany,Humanitarian,98528295,Aid package for Ukraine,Simulated
2023-06-22,France,Financial,16328882,Aid package for Ukraine,Simulated
2023-06-23,UK,Humanitarian,76464210,Aid package for Ukraine,Simulated
2023-06-24,Germany,Military,13122679,Aid package for Ukraine,Simulated
2023-06-25,Germany,Humanitarian,58642582,Aid package for Ukraine,Simulated
2023-06-26,France,Military,84285768,Aid package for Ukraine,Simulated
2023-06-27,USA,Financial,45484758,Aid package for Ukraine,Simulated
2023-06-28,Germany,Financial,95643653,Aid package for Ukraine,Simulated
2023-06-29,Canada,Military,27642881,Aid package for Ukraine,Simulated
2023-06-30,Germany,Military,70749495,Aid package for Ukraine,Simulated
2023-07-01,Canada,Humanitarian,50923986,Aid package for Ukraine,Simulated
2023-07-02,Germany,Humanitarian,94054182,Aid package for Ukraine,Simulated
2023-07-03,Germany,Financial,97916118,Aid package for Ukraine,Simulated
2023-07-04,USA,Military,34112578,Aid package for Ukraine,Simulated
2023-07-05,USA,Humanitarian,12611333,Aid package for Ukraine,Simulated
2023-07-06,Canada,Military,16072929,Aid package for Ukraine,Simulated
2023-07-07,USA,Financial,83434098,Aid package for Ukraine,Simulated
2023-07-08,Canada,Financial,55396802,Aid package for Ukraine,Simulated
2023-07-09,UK,Military,38347192,Aid package for Ukraine,Simulated
2023-07-10,UK,Military,43593064,Aid package for Ukraine,Simulated
2023-07-11,Canada,Humanitarian,27803404,Aid package for Ukraine,Simulated
2023-07-12,France,Financial,59313267,Aid package for Ukraine,Simulated
2023-07-13,Canada,Military,20875687,Aid package for Ukraine,Simulated
2023-07-14,Germany,Financial,8113799,Aid package for Ukraine,Simulated
2023-07-15,Canada,Military,64039405,Aid package for Ukraine,Simulated
2023-07-16,UK,Financial,71450353,Aid package for Ukraine,Simulated
2023-07-17,France,Financial,10115663,Aid package for Ukraine,Simulated
2023-07-18,Germany,Financial,26169218,Aid package for Ukraine,Simulated
2023-07-19,Germany,Military,86404886,Aid package for Ukraine,Simulated
2023-07-20,France,Humanitarian,91435064,Aid package for Ukraine,Simulated
2023-07-21,UK,Financial,9450362,Aid package for Ukraine,Simulated
2023-07-22,Canada,Financial,49964983,Aid package for Ukraine,Simulated
2023-07-23,USA,Humanitarian,88839352,Aid package for Ukraine,Simulated
2023-07-24,France,Financial,91840304,Aid package for Ukraine,Simulated
2023-07-25,USA,Humanitarian,52711349,Aid package for Ukraine,Simulated
2023-07-26,France,Military,59979634,Aid package for Ukraine,Simulated
2023-07-27,France,Financial,14542144,Aid package for Ukraine,Simulated
2023-07-28,UK,Humanitarian,30547253,Aid package for Ukraine,Simulated
2023-07-29,Germany,Humanitarian,9311326,Aid package for Ukraine,Simulated
2023-07-30,Germany,Humanitarian,4325629,Aid package for Ukraine,Simulated
2023-07-31,France,Humanitarian,78861538,Aid package for Ukraine,Simulated
2023-08-01,Canada,Financial,81931133,Aid package for Ukraine,Simulated
2023-08-02,USA,Financial,7714137,Aid package for Ukraine,Simulated
2023-08-03,USA,Humanitarian,93170730,Aid package for Ukraine,Simulated
2023-08-04,France,Financial,46482179,Aid package for Ukraine,Simulated
2023-08-05,UK,Humanitarian,93756413,Aid package for Ukraine,Simulated
2023-08-06,UK,Financial,8775196,Aid package for Ukraine,Simulated
2023-08-07,France,Humanitarian,79295836,Aid package for Ukraine,Simulated
2023-08-08,UK,Financial,62249437,Aid package for Ukraine,Simulated
2023-08-09,UK,Military,35284800,Aid package for Ukraine,Simulated
2023-08-10,UK,Financial,11416561,Aid package for Ukraine,Simulated
2023-08-11,Germany,Financial,20503211,Aid package for Ukraine,Simulated
2023-08-12,USA,Financial,85519487,Aid package for Ukraine,Simulated
2023-08-13,USA,Military,4991478,Aid package for Ukraine,Simulated
2023-08-14,UK,Military,5896451,Aid package for Ukraine,Simulated
2023-08-15,USA,Financial,63600392,Aid package for Ukraine,Simulated
2023-08-16,Germany,Humanitarian,73450009,Aid package for Ukraine,Simulated
2023-08-17,USA,Military,5482233,Aid package for Ukraine,Simulated
2023-08-18,France,Humanitarian,84357917,Aid package for Ukraine,Simulated
2023-08-19,UK,Military,97553685,Aid package for Ukraine,Simulated
2023-08-20,Germany,Financial,20271192,Aid package for Ukraine,Simulated
2023-08-21,Canada,Financial,75646759,Aid package for Ukraine,Simulated
2023-08-22,France,Humanitarian,6185526,Aid package for Ukraine,Simulated
2023-08-23,UK,Military,22590313,Aid package for Ukraine,Simulated
2023-08-24,USA,Financial,43504589,Aid package for Ukraine,Simulated
2023-08-25,France,Financial,41429940,Aid package for Ukraine,Simulated
2023-08-26,Canada,Military,88936652,Aid package for Ukraine,Simulated
2023-08-27,Canada,Military,23613082,Aid package for Ukraine,Simulated
2023-08-28,USA,Humanitarian,73389149,Aid package for Ukraine,Simulated
2023-08-29,France,Humanitarian,45185051,Aid package for Ukraine,Simulated
2023-08-30,USA,Military,84224723,Aid package for Ukraine,Simulated
2023-08-31,Germany,Humanitarian,94369602,Aid package for Ukraine,Simulated
2023-09-01,Germany,Military,74219082,Aid package for Ukraine,Simulated
2023-09-02,Germany,Military,68901931,Aid package for Ukraine,Simulated
2023-09-03,USA,Financial,92314933,Aid package for Ukraine,Simulated
2023-09-04,Canada,Financial,74450694,Aid package for Ukraine,Simulated
2023-09-05,Canada,Humanitarian,19898102,Aid package for Ukraine,Simulated
2023-09-06,UK,Humanitarian,69603353,Aid package for Ukraine,Simulated
2023-09-07,Germany,Humanitarian,71308483,Aid package for Ukraine,Simulated
2023-09-08,Canada,Humanitarian,13216961,Aid package for Ukraine,Simulated
2023-09-09,France,Financial,15432951,Aid package for Ukraine,Simulated
2023-09-10,France,Financial,68441871,Aid package for Ukraine,Simulated
2023-09-11,USA,Military,35975933,Aid package for Ukraine,Simulated
2023-09-12,Canada,Financial,90981438,Aid package for Ukraine,Simulated
2023-09-13,France,Financial,32637375,Aid package for Ukraine,Simulated
2023-09-14,UK,Military,11014062,Aid package for Ukraine,Simulated
2023-09-15,UK,Humanitarian,46299663,Aid package for Ukraine,Simulated
2023-09-16,USA,Financial,40582184,Aid package for Ukraine,Simulated
2023-09-17,France,Military,19972080,Aid package for Ukraine,Simulated
2023-09-18,Germany,Humanitarian,94655280,Aid package for Ukraine,Simulated
2023-09-19,Germany,Humanitarian,6814172,Aid package for Ukraine,Simulated
2023-09-20,Canada,Humanitarian,5859593,Aid package for Ukraine,Simulated
2023-09-21,UK,Financial,59812739,Aid package for Ukraine,Simulated
2023-09-22,UK,Humanitarian,40444083,Aid package for Ukraine,Simulated
2023-09-23,USA,Humanitarian,19879705,Aid package for Ukraine,Simulated
2023-09-24,Germany,Financial,21654243,Aid package for Ukraine,Simulated
2023-09-25,France,Humanitarian,66473471,Aid package for Ukraine,Simulated
2023-09-26,USA,Financial,40048598,Aid package for Ukraine,Simulated
2023-09-27,UK,Financial,82464728,Aid package for Ukraine,Simulated
2023-09-28,Canada,Financial,36194161,Aid package for Ukraine,Simulated
2023-09-29,France,Financial,80514083,Aid package for Ukraine,Simulated
2023-09-30,Canada,Military,99511741,Aid package for Ukraine,Simulated
2023-10-01,Canada,Military,59546020,Aid package for Ukraine,Simulated
2023-10-02,Canada,Financial,87542569,Aid package for Ukraine,Simulated
2023-10-03,Canada,Military,79518906,Aid package for Ukraine,Simulated
2023-10-04,UK,Military,97139067,Aid package for Ukraine,Simulated
2023-10-05,Germany,Financial,37901887,Aid package for Ukraine,Simulated
2023-10-06,France,Financial,44960476,Aid package for Ukraine,Simulated
2023-10-07,UK,Financial,12834518,Aid package for Ukraine,Simulated
2023-10-08,Canada,Military,67659826,Aid package for Ukraine,Simulated
2023-10-09,France,Financial,56462115,Aid package for Ukraine,Simulated
2023-10-10,Canada,Financial,17564408,Aid package for Ukraine,Simulated
2023-10-11,UK,Military,38470218,Aid package for Ukraine,Simulated
2023-10-12,France,Humanitarian,73305026,Aid package for Ukraine,Simulated
2023-10-13,Canada,Humanitarian,74730115,Aid package for Ukraine,Simulated
2023-10-14,Germany,Humanitarian,50923517,Aid package for Ukraine,Simulated
2023-10-15,USA,Financial,23725424,Aid package for Ukraine,Simulated
2023-10-16,France,Humanitarian,14316769,Aid package for Ukraine,Simulated
2023-10-17,USA,Financial,20792938,Aid package for Ukraine,Simulated
2023-10-18,USA,Humanitarian,30260447,Aid package for Ukraine,Simulated
2023-10-19,France,Humanitarian,96532159,Aid package for Ukraine,Simulated
2023-10-20,France,Humanitarian,24169432,Aid package for Ukraine,Simulated
2023-10-21,Germany,Financial,80465204,Aid package for Ukraine,Simulated
2023-10-22,UK,Humanitarian,62534515,Aid package for Ukraine,Simulated
2023-10-23,Canada,Financial,97875324,Aid package for Ukraine,Simulated
2023-10-24,USA,Humanitarian,93478472,Aid package for Ukraine,Simulated
2023-10-25,Canada,Financial,15840655,Aid package for Ukraine,Simulated
2023-10-26,Germany,Military,59782572,Aid package for Ukraine,Simulated
2023-10-27,Canada,Humanitarian,11486886,Aid package for Ukraine,Simulated
2023-10-28,USA,Military,45121591,Aid package for Ukraine,Simulated
2023-10-29,Germany,Humanitarian,81739164,Aid package for Ukraine,Simulated
2023-10-30,Germany,Military,49733430,Aid package for Ukraine,Simulated
2023-10-31,Canada,Financial,47940289,Aid package for Ukraine,Simulated
2023-11-01,France,Military,41806547,Aid package for Ukraine,Simulated
2023-11-02,Canada,Financial,82350100,Aid package for Ukraine,Simulated
2023-11-03,Germany,Humanitarian,70577176,Aid package for Ukraine,Simulated
2023-11-04,Germany,Financial,36391808,Aid package for Ukraine,Simulated
2023-11-05,France,Humanitarian,11397693,Aid package for Ukraine,Simulated
2023-11-06,France,Humanitarian,31934661,Aid package for Ukraine,Simulated
2023-11-07,UK,Military,75964475,Aid package for Ukraine,Simulated
2023-11-08,Canada,Financial,8309772,Aid package for Ukraine,Simulated
2023-11-09,France,Financial,63778832,Aid package for Ukraine,Simulated
2023-11-10,France,Financial,69488104,Aid package for Ukraine,Simulated
2023-11-11,USA,Military,81709852,Aid package for Ukraine,Simulated
2023-11-12,UK,Humanitarian,90744608,Aid package for Ukraine,Simulated
2023-11-13,France,Humanitarian,21723991,Aid package for Ukraine,Simulated
2023-11-14,USA,Military,35173157,Aid package for Ukraine,Simulated
2023-11-15,Canada,Financial,43884498,Aid package for Ukraine,Simulated
2023-11-16,France,Military,71947522,Aid package for Ukraine,Simulated
2023-11-17,UK,Military,65183997,Aid package for Ukraine,Simulated
2023-11-18,USA,Humanitarian,73356412,Aid package for Ukraine,Simulated
2023-11-19,Germany,Humanitarian,46730862,Aid package for Ukraine,Simulated
2023-11-20,USA,Financial,14372515,Aid package for Ukraine,Simulated
2023-11-21,France,Financial,94980742,Aid package for Ukraine,Simulated
2023-11-22,USA,Humanitarian,74301133,Aid package for Ukraine,Simulated
2023-11-23,Germany,Military,85044009,Aid package for Ukraine,Simulated
2023-11-24,UK,Military,58022563,Aid package for Ukraine,Simulated
2023-11-25,Germany,Financial,53266482,Aid package for Ukraine,Simulated
2023-11-26,UK,Financial,89675653,Aid package for Ukraine,Simulated
2023-11-27,France,Financial,86052413,Aid package for Ukraine,Simulated
2023-11-28,UK,Military,95523101,Aid package for Ukraine,Simulated
2023-11-29,Canada,Humanitarian,84349504,Aid package for Ukraine,Simulated
2023-11-30,USA,Humanitarian,26632506,Aid package for Ukraine,Simulated
2023-12-01,UK,Humanitarian,5413768,Aid package for Ukraine,Simulated
2023-12-02,Germany,Military,42634240,Aid package for Ukraine,Simulated
2023-12-03,USA,Financial,2998493,Aid package for Ukraine,Simulated
2023-12-04,Germany,Humanitarian,33952917,Aid package for Ukraine,Simulated
2023-12-05,France,Financial,45467773,Aid package for Ukraine,Simulated
2023-12-06,UK,Military,4608236,Aid package for Ukraine,Simulated
2023-12-07,UK,Financial,92652543,Aid package for Ukraine,Simulated
2023-12-08,Canada,Military,4487524,Aid package for Ukraine,Simulated
2023-12-09,France,Financial,45539416,Aid package for Ukraine,Simulated
2023-12-10,France,Military,39471740,Aid package for Ukraine,Simulated
2023-12-11,USA,Humanitarian,97485837,Aid package for Ukraine,Simulated
2023-12-12,Canada,Humanitarian,35187769,Aid package for Ukraine,Simulated
2023-12-13,Canada,Humanitarian,84286200,Aid package for Ukraine,Simulated
2023-12-14,France,Military,8199355,Aid package for Ukraine,Simulated
2023-12-15,Canada,Humanitarian,80345546,Aid package for Ukraine,Simulated
2023-12-16,USA,Financial,85740676,Aid package for Ukraine,Simulated
2023-12-17,USA,Military,55345602,Aid package for Ukraine,Simulated
2023-12-18,Germany,Financial,12097492,Aid package for Ukraine,Simulated
2023-12-19,Germany,Humanitarian,40874761,Aid package for Ukraine,Simulated
2023-12-20,France,Military,38363833,Aid package for Ukraine,Simulated
2023-12-21,UK,Financial,34708734,Aid package for Ukraine,Simulated
2023-12-22,USA,Military,41262410,Aid package for Ukraine,Simulated
2023-12-23,UK,Financial,97363927,Aid package for Ukraine,Simulated
2023-12-24,Germany,Military,74545103,Aid package for Ukraine,Simulated
2023-12-25,UK,Financial,37409495,Aid package for Ukraine,Simulated
2023-12-26,Canada,Financial,5680260,Aid package for Ukraine,Simulated
2023-12-27,France,Humanitarian,14168722,Aid package for Ukraine,Simulated
2023-12-28,UK,Financial,14985959,Aid package for Ukraine,Simulated
2023-12-29,UK,Humanitarian,83261900,Aid package for Ukraine,Simulated
2023-12-30,Germany,Financial,95850436,Aid package for Ukraine,Simulated
2023-12-31,USA,Military,6681154,Aid package for Ukraine,Simulated
2024-01-01,Canada,Financial,85286496,Aid package for Ukraine,Simulated
2024-01-02,USA,Financial,27403074,Aid package for Ukraine,Simulated
2024-01-03,UK,Financial,24318242,Aid package for Ukraine,Simulated
2024-01-04,Canada,Military,48122418,Aid package for Ukraine,Simulated
2024-01-05,Canada,Humanitarian,98906498,Aid package for Ukraine,Simulated
2024-01-06,USA,Humanitarian,47503949,Aid package for Ukraine,Simulated
2024-01-07,USA,Military,66660327,Aid package for Ukraine,Simulated
2024-01-08,UK,Military,84246237,Aid package for Ukraine,Simulated
2024-01-09,Canada,Humanitarian,25450006,Aid package for Ukraine,Simulated
2024-01-10,UK,Humanitarian,24212749,Aid package for Ukraine,Simulated
2024-01-11,France,Military,78048235,Aid package for Ukraine,Simulated
2024-01-12,Canada,Financial,96870859,Aid package for Ukraine,Simulated
2024-01-13,UK,Military,43967775,Aid package for Ukraine,Simulated
2024-01-14,Canada,Humanitarian,52627341,Aid package for Ukraine,Simulated
2024-01-15,Canada,Humanitarian,1397870,Aid package for Ukraine,Simulated
2024-01-16,USA,Military,12861428,Aid package for Ukraine,Simulated
2024-01-17,France,Military,20252226,Aid package for Ukraine,Simulated
2024-01-18,USA,Humanitarian,92621225,Aid package for Ukraine,Simulated
2024-01-19,USA,Military,12694721,Aid package for Ukraine,Simulated
2024-01-20,UK,Humanitarian,43444332,Aid package for Ukraine,Simulated
2024-01-21,USA,Military,2892985,Aid package for Ukraine,Simulated
2024-01-22,UK,Military,85315225,Aid package for Ukraine,Simulated
2024-01-23,Germany,Financial,49463907,Aid package for Ukraine,Simulated
2024-01-24,Canada,Financial,62522863,Aid package for Ukraine,Simulated
2024-01-25,USA,Financial,29732558,Aid package for Ukraine,Simulated
2024-01-26,UK,Military,8210904,Aid package for Ukraine,Simulated
2024-01-27,Canada,Humanitarian,15222796,Aid package for Ukraine,Simulated
2024-01-28,Canada,Military,52010378,Aid package for Ukraine,Simulated
2024-01-29,France,Humanitarian,85076952,Aid package for Ukraine,Simulated
2024-01-30,UK,Military,25322503,Aid package for Ukraine,Simulated
2024-01-31,Germany,Financial,80158634,Aid package for Ukraine,Simulated
2024-02-01,France,Humanitarian,24634009,Aid package for Ukraine,Simulated
2024-02-02,USA,Financial,14268161,Aid package for Ukraine,Simulated
2024-02-03,France,Financial,49192477,Aid package for Ukraine,Simulated
2024-02-04,France,Humanitarian,38425092,Aid package for Ukraine,Simulated
2024-02-05,Canada,Humanitarian,35001165,Aid package for Ukraine,Simulated
2024-02-06,USA,Humanitarian,95345859,Aid package for Ukraine,Simulated
2024-02-07,USA,Humanitarian,83359742,Aid package for Ukraine,Simulated
2024-02-08,France,Financial,24688332,Aid package for Ukraine,Simulated
2024-02-09,Canada,Military,49387243,Aid package for Ukraine,Simulated
2024-02-10,USA,Military,18740300,Aid package for Ukraine,Simulated
2024-02-11,Germany,Financial,77787437,Aid package for Ukraine,Simulated
2024-02-12,Germany,Military,78589648,Aid package for Ukraine,Simulated
2024-02-13,France,Financial,56557847,Aid package for Ukraine,Simulated
2024-02-14,Canada,Military,67941380,Aid package for Ukraine,Simulated
2024-02-15,Canada,Humanitarian,19537346,Aid package for Ukraine,Simulated
2024-02-16,France,Humanitarian,65268291,Aid package for Ukraine,Simulated
2024-02-17,UK,Financial,96419606,Aid package for Ukraine,Simulated
2024-02-18,France,Military,64362401,Aid package for Ukraine,Simulated
2024-02-19,Canada,Financial,95746300,Aid package for Ukraine,Simulated
2024-02-20,Canada,Humanitarian,20684740,Aid package for Ukraine,Simulated
2024-02-21,France,Financial,16624730,Aid package for Ukraine,Simulated
2024-02-22,USA,Humanitarian,9254540,Aid package for Ukraine,Simulated
2024-02-23,UK,Humanitarian,6256956,Aid package for Ukraine,Simulated
2024-02-24,Canada,Humanitarian,38950604,Aid package for Ukraine,Simulated
2024-02-25,Germany,Military,83469226,Aid package for Ukraine,Simulated
2024-02-26,France,Financial,70104962,Aid package for Ukraine,Simulated
2024-02-27,UK,Military,8088147,Aid package for Ukraine,Simulated
2024-02-28,UK,Financial,72915960,Aid package for Ukraine,Simulated
2024-02-29,Germany,Financial,67861025,Aid package for Ukraine,Simulated
2024-03-01,UK,Military,81776516,Aid package for Ukraine,Simulated
2024-03-02,France,Military,34738274,Aid package for Ukraine,Simulated
2024-03-03,Germany,Military,50030124,Aid package for Ukraine,Simulated
2024-03-04,Germany,Military,60071447,Aid package for Ukraine,Simulated
2024-03-05,Canada,Financial,6502349,Aid package for Ukraine,Simulated
2024-03-06,Canada,Military,23399286,Aid package for Ukraine,Simulated
2024-03-07,Germany,Military,55966909,Aid package for Ukraine,Simulated
2024-03-08,France,Humanitarian,17607183,Aid package for Ukraine,Simulated
2024-03-09,UK,Military,29736419,Aid package for Ukraine,Simulated
2024-03-10,Germany,Military,42464078,Aid package for Ukraine,Simulated
2024-03-11,France,Humanitarian,58382996,Aid package for Ukraine,Simulated
2024-03-12,Canada,Military,24206350,Aid package for Ukraine,Simulated
2024-03-13,Germany,Military,6081492,Aid package for Ukraine,Simulated
2024-03-14,France,Humanitarian,77396016,Aid package for Ukraine,Simulated
2024-03-15,USA,Financial,16654844,Aid package for Ukraine,Simulated
2024-03-16,France,Humanitarian,36309598,Aid package for Ukraine,Simulated
2024-03-17,Canada,Humanitarian,64723765,Aid package for Ukraine,Simulated
2024-03-18,USA,Military,79310947,Aid package for Ukraine,Simulated
2024-03-19,France,Financial,91888957,Aid package for Ukraine,Simulated
2024-03-20,USA,Financial,18879889,Aid package for Ukraine,Simulated
2024-03-21,Germany,Financial,54002766,Aid package for Ukraine,Simulated
2024-03-22,Canada,Humanitarian,85809508,Aid package for Ukraine,Simulated
2024-03-23,Canada,Military,26193490,Aid package for Ukraine,Simulated
2024-03-24,Canada,Financial,72204033,Aid package for Ukraine,Simulated
2024-03-25,UK,Humanitarian,37203023,Aid package for Ukraine,Simulated
2024-03-26,Germany,Military,36651448,Aid package for Ukraine,Simulated
2024-03-27,USA,Financial,68226171,Aid package for Ukraine,Simulated
2024-03-28,USA,Humanitarian,67994550,Aid package for Ukraine,Simulated
2024-03-29,Germany,Financial,63419428,Aid package for Ukraine,Simulated
2024-03-30,UK,Financial,59731036,Aid package for Ukraine,Simulated
2024-03-31,USA,Humanitarian,83682232,Aid package for Ukraine,Simulated
2024-04-01,France,Military,99925383,Aid package for Ukraine,Simulated
2024-04-02,Germany,Humanitarian,56623975,Aid package for Ukraine,Simulated
2024-04-03,France,Military,91258848,Aid package for Ukraine,Simulated
2024-04-04,France,Humanitarian,75553914,Aid package for Ukraine,Simulated
2024-04-05,Canada,Military,16927603,Aid package for Ukraine,Simulated
2024-04-06,France,Humanitarian,28905062,Aid package for Ukraine,Simulated
2024-04-07,France,Financial,12241417,Aid package for Ukraine,Simulated
2024-04-08,Canada,Financial,54449860,Aid package for Ukraine,Simulated
2024-04-09,Canada,Humanitarian,46045556,Aid package for Ukraine,Simulated
2024-04-10,USA,Humanitarian,17948672,Aid package for Ukraine,Simulated
2024-04-11,France,Financial,52006605,Aid package for Ukraine,Simulated
2024-04-12,UK,Humanitarian,44746002,Aid package for Ukraine,Simulated
2024-04-13,Canada,Humanitarian,20572238,Aid package for Ukraine,Simulated
2024-04-14,Canada,Humanitarian,15960799,Aid package for Ukraine,Simulated
2024-04-15,Canada,Military,99500265,Aid package for Ukraine,Simulated
2024-04-16,USA,Military,69033603,Aid package for Ukraine,Simulated
2024-04-17,France,Financial,68540606,Aid package for Ukraine,Simulated
2024-04-18,Canada,Financial,13497004,Aid package for Ukraine,Simulated
2024-04-19,UK,Financial,25495227,Aid package for Ukraine,Simulated
2024-04-20,France,Military,84997398,Aid package for Ukraine,Simulated
2024-04-21,Germany,Financial,80935589,Aid package for Ukraine,Simulated
2024-04-22,Germany,Humanitarian,81192998,Aid package for Ukraine,Simulated
2024-04-23,USA,Financial,52121281,Aid package for Ukraine,Simulated
2024-04-24,UK,Military,71394914,Aid package for Ukraine,Simulated
2024-04-25,France,Humanitarian,75208516,Aid package for Ukraine,Simulated
2024-04-26,UK,Financial,12631432,Aid package for Ukraine,Simulated
2024-04-27,France,Military,88396238,Aid package for Ukraine,Simulated
2024-04-28,USA,Financial,31979330,Aid package for Ukraine,Simulated
2024-04-29,Canada,Humanitarian,89949957,Aid package for Ukraine,Simulated
2024-04-30,UK,Humanitarian,25828485,Aid package for Ukraine,Simulated
2024-05-01,Germany,Financial,76921942,Aid package for Ukraine,Simulated
2024-05-02,Canada,Financial,22233968,Aid package for Ukraine,Simulated
2024-05-03,USA,Military,27367173,Aid package for Ukraine,Simulated
